ID,tenure,predicted_survival_12m,predicted_churn_risk_12m,clv_36m,at_risk_12m,region,marital,ed,retire,gender,voice,internet,forward,custcat
1,13,0.9019515930972246,0.09804840690277539,802.9608036856234,0,Zone 2,Married,College degree,No,Male,No,No,Yes,Basic service
2,11,0.9091869519669619,0.09081304803303814,810.554982297409,0,Zone 3,Married,Post-undergraduate degree,No,Male,Yes,No,Yes,Total service
3,68,0.9833058791394089,0.016694120860591077,906.8349677693806,0,Zone 3,Married,Did not complete high school,No,Female,No,No,No,Plus service
4,33,0.844946818545614,0.15505318145438596,741.0151546736057,1,Zone 2,Unmarried,High school degree,No,Female,No,No,No,Basic service
5,23,0.9261381680399948,0.07386183196000518,833.2038685212223,0,Zone 2,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
6,41,0.9408408271035025,0.059159172896497525,852.1917437824188,0,Zone 2,Unmarried,High school degree,No,Female,No,No,No,Plus service
7,45,0.8440357199037151,0.15596428009628494,739.6627509721542,1,Zone 3,Married,High school degree,No,Female,No,Yes,No,E-service
8,38,0.80664008240026,0.19335991759974003,699.4225061393344,1,Zone 2,Unmarried,High school degree,No,Male,Yes,Yes,Yes,Total service
9,45,0.9728752901926091,0.0271247098073909,892.7242405330783,0,Zone 3,Married,College degree,No,Male,No,No,Yes,Plus service
10,68,0.9755504372343664,0.024449562765633592,896.6421940342204,0,Zone 1,Married,Did not complete high school,No,Male,No,No,No,E-service
11,5,0.6210647643565098,0.3789352356434902,524.8371520348595,1,Zone 2,Unmarried,College degree,No,Female,No,Yes,No,Basic service
12,7,0.884402930477579,0.11559706952242099,780.2803487047213,0,Zone 3,Unmarried,High school degree,No,Female,Yes,No,Yes,Plus service
13,41,0.8900709682253232,0.10992903177467683,791.7731701421033,0,Zone 1,Married,High school degree,No,Female,No,No,No,Basic service
14,57,0.9613713380239148,0.038628661976085166,878.2372889028413,0,Zone 2,Married,College degree,No,Female,Yes,Yes,Yes,Total service
15,9,0.8239435234574886,0.17605647654251144,716.7784301320678,1,Zone 2,Unmarried,Did not complete high school,No,Female,No,No,No,Basic service
16,29,0.9107378509779963,0.08926214902200369,815.4974662543124,0,Zone 1,Married,Post-undergraduate degree,No,Male,No,Yes,No,E-service
17,60,0.98973798214647,0.010262017853529981,915.3594863042744,0,Zone 3,Unmarried,High school degree,No,Male,No,No,Yes,Plus service
18,34,0.9240285919860242,0.07597140801397584,831.5209679924684,0,Zone 3,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
