segment_value,n_customers,mean_clv_36m,median_clv_36m,mean_churn_risk_12m,at_risk_customers,segment_variable,segment
Yes,47,895.1676132321334,906.2233768457613,0.025313286807735345,0,retire,retire = Yes
Plus service,281,841.6243085872508,856.6615090606854,0.06937920606154707,30,custcat,custcat = Plus service
Did not complete high school,204,826.3214477895998,852.4564430938966,0.08376954832112034,34,ed,ed = Did not complete high school
E-service,217,825.2517747577376,835.324297509392,0.08350712368976229,36,custcat,custcat = E-service
No,632,820.3101054649803,842.5670236414626,0.08837292437221776,122,internet,internet = No
Married,495,811.7062575330657,831.5454541050125,0.09607558543849255,94,marital,marital = Married
Yes,493,803.1243656475632,825.9830299328677,0.10397633831381303,123,forward,forward = Yes
No,696,797.7656002083685,822.9786959934966,0.10946169404631846,186,voice,voice = No
High school degree,287,792.8564100169456,825.7142934403203,0.11453847080224114,83,ed,ed = High school degree
Zone 2,334,790.1518290710039,817.3896310630124,0.11624883301924199,101,region,region = Zone 2
Zone 1,322,786.1533668366645,807.4082979657161,0.11986356607626578,92,region,region = Zone 1
Male,483,785.7075491331016,814.7528759451016,0.12084093287837631,152,gender,gender = Male
Female,517,784.9742724094432,805.9749091094493,0.12078578833576076,153,gender,gender = Female
No,953,779.911403195236,803.7728487292032,0.1255222441446805,305,retire,retire = No
Zone 3,344,779.8731105693282,805.5159254237133,0.126131525130406,112,region,region = Zone 3
Some college,209,774.6081352924075,792.7922898927407,0.13043323390389439,70,ed,ed = Some college
No,507,768.02393057736,789.8290778539249,0.13718360623497877,182,forward,forward = No
Total service,236,765.2319020668667,779.2894433041254,0.13748986258232548,87,custcat,custcat = Total service
Post-undergraduate degree,66,763.7686310366342,783.6230968525774,0.13792496158801373,26,ed,ed = Post-undergraduate degree
Unmarried,505,759.4729655209954,782.7549396156144,0.14505942249067377,211,marital,marital = Unmarried
Yes,304,756.8539056642952,775.9710536560983,0.1467996187289685,119,voice,voice = Yes
College degree,234,756.013889395288,775.800711527587,0.14738162744174996,92,ed,ed = College degree
Yes,368,725.2512456877788,746.3955935924054,0.17652373626794143,183,internet,internet = Yes
Basic service,266,711.1189862546735,732.5333839018763,0.1907827550242185,152,custcat,custcat = Basic service
